"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","responses","question_order","fullscreen_element","test_part","Answer","stimulus","key_press","response","Image","Valence","value","feedback","Person","likeable","trustworthy","competence"
"true","fullscreen","0","1764","0.0-0.0","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","1","4806","0.0-1.0","3037.449999999808","{""Q0"":""Woman""}","[0]","HTML","Gender question","Woman","","","","","","","","","","",""
"","html-keyboard-response","2","5657","0.0-2.0","846.2500000023283","","","HTML","Instructions","","<div dir=""ltr""><p>In the upcoming task, we will show you a variety of emotional images.</p> In some cases, we will ask you to <strong> rate your emotional response</strong> to the picture, as previous participants have done before you. In other cases, we will ask you to <strong>guess the emotional response of a previous participant to the picture.</strong></p><br><p>Press the spacebar to continue.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","3","5799","0.0-3.0","140.30999999886262","","","HTML","Instructions","","<div dir=""ltr"">During the task, you will rate your emotional responses to different images. You will rate your responses on a continuous scale that ranges from -100 to 100. The scale will appear below each picture, as follows:<br><img src=""instruction_images/scalepic.PNG"" style=""width:500px;""><br><p>A rating of <strong>100</strong> means that the image makes you <strong>feel very good</strong></p>. </p>A rating of <strong>-100</strong> means that the image makes you <strong>feel very bad</strong></p>. <p>A rating of <strong>0</strong> means that the picture <strong>does not make you feel good or bad.</strong></p> To indicate your rating, use the mouse to move the cursor to the relevant position on the scale, which best reflects your emotional response to the image. After you rate how you feel, we will show you your rating on a separate subsequent screen.<br><p>Press the spacebar to continue.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","4","5927","0.0-4.0","126.98500000260537","","","HTML","Instructions","","<div dir=""ltr"">Sometimes, we will ask you to rate your own reaction to the image. In these cases, you will see a picture, and the rating scale will appear below it. You will then move the mouse and click to indicate how you feel in response to the image. It will look like this: <br><img style=""width:500px;"" src=""instruction_images/slidepic1.png""><br><p>Press the spacebar to continue</p></div>","32","","","","","","","","",""
"","html-keyboard-response","5","6044","0.0-5.0","116.42000000210828","","","HTML","Instructions","","<div dir=""ltr"">After you indicate your response, the next slide will show you how you have responded in red. You will not need to respond again, just press the spacebar to continue. If you found the picture just a tiny bit positive and gave it a rating of 16 on the scale, your response would look like this: <br><img style=""width:500px;"" src=""instruction_images/slidepic2.png""><br><p>Press the space bar to continue</p></div>","32","","","","","","","","",""
"","html-keyboard-response","6","6163","0.0-6.0","117.76000000099884","","","HTML","Instructions","","<div dir=""ltr"">In addition to asking you to rate your own reactions to some images, we will also ask you to guess the emotional responses of previous participants to some images. In these cases, you will see the name of an actual previous participant, and need to guess the emotional response of that participant to the image, by guessing their rating on the scale. It will look like this:<br> <img style=""width:500px;"" src=""instruction_images/slidepic3.png""><br><p>Press the spacebar to continue</p></div>","32","","","","","","","","",""
"","html-keyboard-response","7","6289","0.0-7.0","125.09499999941909","","","HTML","Instructions","","<div dir=""ltr"">To indicate the emotional response of a previous participant to a picture, you will also use the same scale that ranges from -100 to 100. A rating of 100 means you assume that the image made the participant feel very good. A rating of - 100 means you assume that the image made the participant feel very bad.A rating of 0 means you assume that the image did not make the participant feel good or bad. Please use the mouse to move the cursor to the place on the scale that best matches the response of the previous participant.<p>Press the spacebar to continue.</p></div>","32","","","","","","","","",""
"","html-keyboard-response","8","6417","0.0-8.0","126.9300000021758","","","HTML","Instructions","","<div dir=""ltr"">After you guess how the previous participant responded to the image, in the next screen we will show you the actual response of that previous participant to the image in red. It will look like this: <br><img style=""width:500px;"" src=""instruction_images/slidepic4.png""><br>Press the spacebar to continue</div>","32","","","","","","","","",""
"","html-keyboard-response","9","6531","0.0-9.0","113.13499999960186","","","HTML","Instructions","","<div dir=""ltr"">Now, you will complete a brief training phase. <p>You will be presented with different pictures and rate how you feel in response to each picture.</p><p>Press the spacebar to begin.</p></div>","32","","","","","","","","",""
